Number,Type,Location,City,State,Zip,Phone,latitude,longitude,
82,b,901 North Lake Street,Aurora,IL,60506,(630) 859-3924,41.7753,-88.3145,0
83,b,353 South Kennedy Drive,Bradley,IL,60915,(815) 939-3538,41.1404,-87.8768,0
84,b,568 West Dekalb Pike,King Of Prussia,PA,19406,(610) 265-3227,40.0894,-75.3797,0
85,b,260 Plainfield Avenue,Edison,NJ,8817,(201) 985-9733,40.5135,-74.4033,0
86,b,2800 West 66th Street,Richfield,MN,55423,(612) 869-1008,44.8837,-93.3152,0
87,b,1205 East Central Road,Mount Prospect,IL,60056,(847) 699-6493,42.0661,-87.9186,0
88,b,3850 West Dempster,Skokie,IL,60076,(847) 673-9850,42.0409,-87.7246,0
89,b,7133 West Dempster,Niles,IL,60714,(847) 965-4280,42.0407,-87.8049,0
90,b,2525 West Davis,Dallas,TX,75211,(214) 943-9603,32.7496,-96.8593,0
91,b,85 Tunnel Road,Asheville,NC,28805,(808) 253-6908,35.595,-82.5325,0
92,b,4848 West 87th Street,Burbank,IL,60459,(708) 423-0696,41.7346,-87.7424,0
93,b,3735 Airline Highway,Metairie,LA,70001,(504) 834-4950,29.9753,-90.166,0
94,b,50 East Higgens Road,Hoffman Estates,IL,60195,(847) 843-3399,42.0451,-88.079,0
95,b,670 Adams Street,Quincy,MA,2169,(617) 479-4975,42.2559,-71.0329,0
96,b,2322 Battleground Avenue,Greensboro,NC,27408,(336) 288-6610,36.1018,-79.8227,0
97,b,3342 Nicollet Avenue South,Minneapolis,MN,55408,(612) 824-9828,44.9423,-93.2781,0
98,b,210 Brighton Avenue,Allston,MA,2134,(617) 783-0106,42.3532,-71.135,0
99,b,5425 South Pulaski Road,Chicago,IL,60632,(773) 581-9558,41.7945,-87.723,0
100,b,4951 Florida Boulevard,Baton Rouge,LA,70806,(225) 925-2830,30.4509,-91.1396,0
101,b,1242 Lee Street,Des Plaines,IL,60018,(847) 827-0430,42.0304,-87.8946,0
102,b,590 Roosevelt Road,Glen Ellyn,IL,60137,(708) 469-6968,41.8595,-88.0632,0
103,b,3616 North Hampton Road,Dallas,TX,75212,(214) 637-2417,32.7866,-96.8562,0
104,b,1510 North Lewis Avenue,Waukegan,IL,60085,(708) 244-2477,42.3806,-87.8556,0
105,b,7120 West 79th Street,Burbank,IL,60459,(708) 599-5066,41.7483,-87.7978,0
106,b,78 Westbank Expressway,Gretna,LA,70053,(504) 367-2489,29.9123,-90.0511,0
107,b,1201 B Summit Avenue,Greensboro,NC,27405,(336) 273-8004,36.1079,-79.7493,0
108,b,1445 West Ogden Avenue,Downers Grove,IL,60515,(630) 969-3753,41.8081,-88.021,0
109,b,2105 West Springfield Avenue,Champaign,IL,61821,(217) 398-8906,40.1128,-88.283,0
110,b,2902 Two Notch Road,Columbia,SC,29204,(803) 251-3483,34.035,-81.0039,0
111,b,1109 West Faris Road,Greenville,SC,29605,(864) 269-8601,34.818,-82.4196,0
112,b,2425 Peachtree Road Ne,Atlanta,GA,30305,(404) 869-8900,33.8204,-84.388,0
113,b,1801 East Victory Drive,Savannah,GA,31404,(912) 354-3358,32.0444,-81.0723,0
114,b,606 Belmont Street,Brockton,MA,2301,(508) 588-1963,42.0721,-71.0435,0
115,b,409 West Ridge Pike,Conshohocken,PA,19428,(610) 828-7447,40.0949,-75.2921,0
116,b,5353 Plank Road,Baton Rouge,LA,70805,(225) 355-5869,30.498,-91.1538,0
117,b,28 East 87th Street,Chicago,IL,60619,(773) 488-9844,41.7365,-87.6232,0
118,b,6000 Rivers Avenue,North Charleston,SC,29406,(843) 744-2782,32.9055,-80.0206,0
119,b,506 South Washington Street,Naperville,IL,60540,(312) 420-9569,41.7696,-88.1482,0
120,b,108 North Larkin Avenue,Joliet,IL,60435,(815) 725-7928,41.5249,-88.1245,0
121,b,916 Veterans Memorial Blvd.,Metairie,LA,70005,(504) 835-9610,30.0015,-90.1322,0
122,b,1200 South Brentwood Blvd.,Richmond Heights,MO,63117,(314) 726-3390,38.6321,-90.3459,0
123,b,2321 West Howard Street,Chicago,IL,60645,(773) 338-8551,42.0193,-87.688,0
124,b,10885 Lee Highway,Fairfax,VA,22030,(301) 721-2900,38.8536,-77.3192,0
125,b,4503 Live Oak Street,Dallas,TX,75204,(214) 827-5990,32.7995,-96.7765,0
126,b,198 Thomaston Avenue,Waterbury,CT,6708,(203) 757-7728,41.5636,-73.0542,0
127,b,743 North Church Street,Spartanburg,SC,29303,(864) 582-6293,34.9641,-81.9424,0
128,b,2700 South Kedzie Avenue,Chicago,IL,60623,(773) 254-3585,41.8426,-87.7052,0
129,b,100 West 98th Street,Bloomington,MN,55420,(952) 888-0616,44.8265,-93.28,0
130,b,176 East Butterfield Road,Elmhurst,IL,60126,(708) 833-5570,41.8692,-87.9357,0
131,b,3100 Highland Road,Baton Rouge,LA,70802,(225) 383-7511,30.4198,-91.1775,0
132,b,4125 North Milwaukee,Chicago,IL,60641,(773) 777-0626,41.9559,-87.7501,0
133,b,6701 West Roosevelt Road,Berwyn,IL,60402,(708) 484-4144,41.8651,-87.7915,0
134,b,1040 North Shepherd,Houston,TX,77008,(713) 864-5293,29.7895,-95.4097,0
135,b,6261 N Lincoln Ave,Chicago,IL,60659-2205,(773) 588-1976,41.9955,-87.7155,0
136,b,500 Fulton Avenue,Hempstead,NY,11550,(516) 565-9462,40.7099,-73.6145,0
137,b,1021 East St. Charles Road,Lombard,IL,60148,(312) 629-4190,41.8897,-87.9923,0
138,b,1815 Walton Way,Augusta,GA,30904,(706) 737-4848,33.4758,-81.9994,0
139,b,4885 Washtenaw Road,Ann Arbor,MI,48108,(734) 434-8994,42.2507,-83.6636,0
140,b,179-08 Hillside Avenue,Jamaica,NY,11432,(718) 658-5047,40.7124,-73.7841,0
141,b,3625 South Dort Highway,Flint,MI,48507,(810) 743-1560,42.9908,-83.6532,0
142,b,2719 North Main Street,Anderson,SC,29621,(864) 226-3235,34.53,-82.6618,0
143,b,3902 Johnston Street,Lafayette,LA,70503,(337) 984-7062,30.1989,-92.0559,0
144,b,3728 South Archer Avenue,Chicago,IL,60632,(773) 890-1516,41.8256,-87.6858,0
145,b,2304 North Druid Hills Road,Atlanta,GA,30329,(404) 315-9656,33.828,-84.3301,0
146,b,2561 West Main Street,Norristown,PA,19401,(610) 539-9242,40.1404,-75.3869,0
147,b,3950 Westbank Expressway,Harvey,LA,70058,(504) 347-5749,29.8955,-90.0893,0
148,b,1004 North Memorial Parkway,Huntsville,AL,35801,(256) 533-1228,34.7399,-86.5999,1
149,b,1141 East Grand River Avenue,East Lansing,MI,48823,(517) 351-2600,42.7311,-84.4679,0
150,b,1434 East Tenth Street,Jeffersonville,IN,47130,(812) 282-7951,38.2883,-85.7291,0
151,b,913 West Lincoln Highway,DeKalb,IL,60115,(815) 758-7979,41.9313,-88.7703,0
152,b,3015 South Westnedge Avenue,Kalamazoo,MI,49008,(616) 343-2066,42.2612,-85.5894,0
153,b,8003 Long Point Road,Houston,TX,77055,(713) 468-8434,29.8027,-95.4874,0
154,b,7938 Calumet Avenue,Munster,IN,46321,(219) 836-9176,41.5698,-87.5092,0
155,b,1834 Waukegan Road,Glenview,IL,60025,(847) 729-2754,42.088,-87.7983,0
156,b,1006 South Ballenger Hwy.,Flint,MI,48532,(810) 238-1971,43.0037,-83.7335,0
157,b,"3900 Plainfield Avenue, N. E.",Grand Rapids,MI,49505,(616) 447-0346,43.0339,-85.6217,0
158,b,175 North Black Horse Pike,Bellmawr,NJ,8031,(609) 931-9867,39.8709,-75.0813,0
159,b,"841 Maryland Avenue, East",St. Paul,MN,55106,(651) 771-9666,44.9776,-93.065,0
160,b,4890 Perkiomen Avenue,Reading,PA,19606,(610) 779-5388,40.3038,-75.8562,0
161,b,1431 East Dorothy Lane,Kettering,OH,45429,(937) 293-5026,39.7039,-84.1409,0
162,b,1705 Old Minden Road,Bossier City,LA,71111,(318) 746-6641,32.5163,-93.7161,0
163,b,2423 South Carrollton Ave.,New Orleans,LA,70118,(504) 866-4144,29.956,-90.12,0
164,b,4901 South Broadway,Englewood,CO,80110,(303) 789-9526,39.6275,-104.988,0
165,b,1436 Apple Avenue,Muskegon,MI,49442,(231) 773-9321,43.2343,-86.2083,0
166,b,"5456 East Mockingbird Lane, 400",Dallas,TX,75206,(214) 828-9146,32.8364,-96.7745,0
167,b,10170 West Grand Avenue,Franklin Park,IL,60131,(708) 455-0203,41.9303,-87.8793,0
168,b,1621 Carter Hill Road,Montgomery,AL,36106,(334) 265-7944,32.3595,-86.2866,0
169,b,1801 North Ashley Street,Valdosta,GA,31602,(229) 244-4904,30.8545,-83.2806,0
170,b,628 West Montauk Highway,West Babylon,NY,11704,(631) 669-1784,40.6858,-73.3451,0
171,b,6671 Pearl Road,Parma Heights,OH,44130-3865,(440) 884-0137,41.3816,-81.7817,0
172,b,700 West Broad Street,Falls Church,VA,22046,(703) 533-9758,38.8875,-77.179,0
173,b,1540 East 12 Mile Road,Madison Heights,MI,48071,(248) 398-7989,42.505,-83.0899,0
174,b,2024 West Cumberland Avenue,Knoxville,TN,37916,(865) 523-8951,35.9546,-83.9371,0
175,b,601 W. Broad St(Martin Luther King),Savannah,GA,31401,(912) 234-9906,32.0705,-81.1011,0
176,b,1600 McArthur Road,Whitehall,PA,18052,(610) 437-9971,40.6293,-75.4847,0
177,b,411 Baltimore Pike,Morton Borough,PA,19070,(610) 544-7009,39.9178,-75.331,0
178,b,2035 M-139,Benton Harbor,MI,49022,(269) 927-1142,42.0796,-86.4364,0
179,b,"1209 South Leonard Street, Nw",Grand Rapids,MI,49504,(616) 742-5574,42.9857,-85.6982,0
180,b,29211 West Seven Mile Road,Livonia,MI,48152,(248) 477-8321,42.427,-83.3342,0
181,b,4910 West North Avenue,Chicago,IL,60639,(773) 237-6888,41.9097,-87.7495,0
182,b,3025 Pio Nono Avenue,Macon,GA,31206,(478) 781-6979,32.8079,-83.6632,0
183,b,2141 Stefko Boulevard,Bethlehem,PA,18017,(610) 865-1025,40.6432,-75.3462,0
184,b,10 Rushmore Drive,Greenville,SC,29607,(864) 268-0270,34.8816,-82.3518,0
185,b,3701 Hillsborough St,Raleigh,NC,27607-5410,(919) 856-0341,35.7937,-78.6853,0
186,b,22740 Lorain Road,Fairview Park,OH,44126-2223,(440) 734-2200,41.4387,-81.8718,0
187,b,"2626 Franklin Road, S. W.",Roanoke,VA,24014,(540) 343-6038,37.2493,-79.9561,0
188,b,6730 Harrisburg Boulevard,Houston,TX,77011,(713) 926-6559,29.7372,-95.3076,0
189,b,655 Bridge Street,North Weymouth,MA,2190,(781) 335-4764,42.2446,-70.9391,0
190,b,4024 Davison Road,Burton,MI,48509,(313) 744-0734,43.0331,-83.6343,0
191,b,7314 Ritchie Highway,Glen Burnie,MD,21061,(301) 760-9834,39.1712,-76.6201,0
192,b,4479 East Main Street,Columbus,OH,43213,(614) 231-9080,39.9554,-82.8783,0
193,b,1700 St. Charles Avenue,New Orleans,LA,70130,(504) 525-0146,29.9374,-90.0764,0
194,b,3520 Macon Road,Columbus,GA,31907,(706) 561-8571,32.4848,-84.9364,0
195,b,1760 Swede Road,Blue Bell,PA,19422,(610) 277-1514,40.1504,-75.3086,0
196,b,5115 Kirby Drive,Houston,TX,77098,(713) 529-6912,29.727,-95.4184,0
197,b,26270 Lorain Road,North Olmsted,OH,44070-2710,(440) 777-3300,41.4196,-81.9135,0
198,b,881 Moody Street,Waltham,MA,2453,(781) 891-5612,42.3613,-71.2393,0
199,b,3660 West Broad Street,Columbus,OH,43228,(614) 274-1592,39.954,-83.0981,0
200,b,3949 Government Boulevard,Mobile,AL,36608,(334) 666-7240,30.6396,-88.1375,0
201,b,6332 Elysian Fields Avenue,New Orleans,LA,70122,(504) 282-3846,30.0235,-90.0616,0
202,b,1940 South Byrne Road,Toledo,OH,43614,(419) 382-0069,41.6035,-83.626,0
203,b,10075 Long Point Road,Houston,TX,77055,(713) 468-5705,29.7941,-95.5435,0
204,b,127 East Crosstimbers,Houston,TX,77022,(713) 697-1153,29.8286,-95.3755,0
205,b,10341 South Cicero Avenue,Oak Lawn,IL,60453,(708) 423-0776,41.7048,-87.7401,0
206,b,110 Northern Boulevard,Greenvale,NY,11548,(516) 484-4774,40.809,-73.6293,0
207,b,8411 North Lindbergh,Florissant,MO,63031,(314) 838-0220,38.7935,-90.3426,0
208,b,10625 Baltimore Avenue,Beltsville,MD,20705,(301) 937-5497,39.0297,-76.9146,0
209,b,10590 West Colfax Avenue,Lakewood,CO,80215,(303) 233-3729,39.74,-105.116,0
210,b,3402 South High Street,Columbus,OH,43207,(614) 497-0642,39.8926,-82.9961,0
211,b,556 Busse Highway,Park Ridge,IL,60068,(708) 823-9678,42.017,-87.8428,0
212,b,5343 Youngstown-Warren Rd. Se,Niles,OH,44446,(330) 652-0700,41.212,-80.7559,0
213,b,3330 Indianola Avenue,Columbus,OH,43214,(614) 268-4962,40.032,-83.0008,0
214,b,3603 Brewerton Road,North Syracuse,NY,13212,(315) 454-9094,43.114,-76.1462,0
215,b,1200 West Club Boulevard,Durham,NC,27701,(919) 286-2586,36.0171,-78.912,0
216,b,"673 Capital Avenue, S. W.",Battle Creek,MI,49015,(616) 964-0646,42.3032,-85.1993,0
217,b,31305 Vine Street,Willowick,OH,44095,(440) 944-0610,41.6426,-81.4681,0
218,b,2620 South 90th Street,Omaha,NE,68124,(402) 393-4947,41.235,-96.0528,0
219,b,2351 Jericho Turnpike,Garden City,NY,11040,(516) 746-6395,40.742,-73.6613,0
220,b,3629 Forest Lane,Dallas,TX,75234,(972) 241-5558,32.9098,-96.8565,0
221,b,"600 28th Street, S. E.",Grand Rapids,MI,49548,(616) 475-5812,42.9127,-85.6507,0
222,b,28203 Plymouth Road,Livonia,MI,48150,(734) 522-4499,42.3693,-83.3215,0
223,b,"3216 Melrose Avenue, N. W.",Roanoke,VA,24017,(540) 343-3904,37.2904,-79.9887,0
224,b,1770 - 28th Street,Boulder,CO,80301,(303) 449-1525,40.0181,-105.258,0
225,b,1175 South Arlington Street,Akron,OH,44306-3522,(330) 773-6950,41.04,-81.4911,0
226,b,2155 Dix Road,Lincoln Park,MI,48146,(313) 388-2227,42.2528,-83.1943,0
227,b,100 N Sherrin Ave,Louisville,KY,40207,(502) 896-9023,38.2526,-85.6506,0
228,b,90 Skokie Valley Highway,Highland Park,IL,60035,(847) 831-2790,42.1543,-87.8033,0
229,b,1035 Bustleton Pike,Feasterville,PA,19047,(215) 357-5670,40.1519,-75.002,0
230,b,5701 Backlick Road,Springfield,VA,22151,(703) 256-9627,38.7964,-77.1858,0
231,b,10620 West Greenfield Avenue,West Allis,WI,53214,(414) 778-0964,43.0166,-88.0448,0
232,b,2165 Union Boulevard,Bethlehem,PA,18018,(610) 866-1322,40.6262,-75.4196,0
233,b,9220 Frankford Avenue,Philadelphia,PA,19114,(215) 338-7918,40.0552,-75.0045,0
234,b,393 Washington Street,Weymouth,MA,2188,(617) 335-4606,42.2102,-70.9592,0
235,b,1244 Florence Boulevard,Florence,AL,35630,(256) 766-4623,34.8162,-87.6625,0
236,b,1138 East State Street,Rockford,IL,61104,(815) 962-6820,42.267,-89.0787,0
237,b,"3022 Cleveland Avenue, N. W.",Canton,OH,44709,(216) 492-4052,40.8325,-81.3879,0
238,b,1033 Farmington Avenue,Bristol,CT,6010,(860) 582-0802,41.6955,-72.9096,0
239,b,440 West Lake Street,Addison,IL,60101,(630) 543-5005,41.9294,-87.9784,0
240,b,1005 South Military Avenue,Green Bay,WI,54304,(920) 494-8368,44.5203,-88.0662,0
241,b,37746 Gratiot,Clinton Township,MI,48036,(810) 469-6929,42.5753,-82.8881,0
242,b,4432 West Tuscarawas Street,Canton,OH,44708,(216) 477-7471,40.7962,-81.4268,0
243,b,172 West 14 Mile Road,Clawson,MI,48017,(248) 435-5353,42.5336,-83.149,0
244,b,392 Chelmsford Street,Lowell,MA,1851,(978) 459-6542,42.6292,-71.3215,0
245,b,524 Scranton-Carbondale Hwy,Scranton,PA,18508,(520) 346-3450,41.4631,-75.6528,0
246,b,557 Long Hill Road,Groton,CT,6340,(860) 445-2020,41.3521,-72.0586,0
247,b,666 East 104th Avenue,Denver,CO,80229,(303) 451-7819,39.8851,-104.978,0
248,b,3436 Henry Street,Norton Shores,MI,49441,(231) 737-9242,43.19,-86.2632,0
249,b,290 Oxmoor Road,Birmingham,AL,35209,(205) 942-1846,33.4655,-86.8219,0
250,b,4885 William Flynn Highway,Allison Park,PA,15101-2346,(724) 443-1630,40.6002,-79.9476,0
251,b,20840 Gratiot,Eastpointe,MI,48021,(586) 771-3950,42.4508,-82.9667,0
252,b,568 West Westfield Avenue,Roselle Park,NJ,7204,(732) 241-2280,40.6591,-74.2818,0
253,b,3607 Kirkwood Highway,Wilmington,DE,19808,(302) 994-2124,39.7346,-75.6365,0
254,b,3956 South Franklin,Michigan City,IN,46360,(219) 879-0509,41.6822,-86.8938,0
255,b,616 West Broad Street,Elyria,OH,44035-6534,(440) 323-7060,41.3663,-82.0855,0
256,b,414 East Meighan,Gadsden,AL,35903,(256) 543-9235,34.0096,-85.9876,0
257,b,5900 Dreher Lane,Little Rock,AR,72209,(501) 568-3340,34.6755,-92.3397,0
258,b,"1069 Sagamore Parkway, West",West Lafayette,IN,47906,(765) 463-6713,40.4532,-86.9224,0
259,b,Highway 9 & Schank Road,Freehold,NJ,7728,(732) 431-8785,40.2389,-74.2764,0
260,b,966 Park Avenue,Cranston,RI,02910-3224,(401) 781-3477,41.7814,-71.4412,0
261,b,4404 North 60th Street,Omaha,NE,68104-2711,(402) 457-4535,41.2986,-96.0049,0
262,b,1958 South 4th Street,Allentown,PA,18102,(610) 797-0111,40.5788,-75.4551,0
263,b,1621 East Markland Avenue,Kokomo,IN,46901,(765) 452-4227,40.4766,-86.1117,0
264,b,601 Black Horse Pike,Pleasantville,NJ,8232,(609) 383-6752,39.3917,-74.532,0
265,b,2000 York Road,Timonium,MD,21093,(410) 252-2119,39.4365,-76.6246,0
266,b,3584 Pine Grove Avenue,Port Huron,MI,48060,(810) 897-6799,43.0163,-82.4504,0
267,b,2706 West Center Avenue,Essexville,MI,48732,(517) 893-8696,43.595,-83.8508,0
268,b,"461 Fuller Avenue, N. E.",Grand Rapids,MI,49503,(616) 458-2326,42.9715,-85.64,0
269,b,26631 Van Dyke Avenue,Center Line,MI,48015,(810) 756-8310,42.4894,-83.0279,0
270,b,25300 Michigan Avenue,Dearborn,MI,48124,(313) 563-3504,42.298,-83.2848,0
271,b,8022 Liberty Road,Baltimore,MD,21244,(410) 521-3616,39.353,-76.7558,0
272,b,799 Front Street,Berea,OH,44017-1608,(440) 234-5511,41.3872,-81.8532,0
273,b,1935 East Joppa Road,Baltimore,MD,21234,(410) 882-5434,39.3997,-76.547,0
274,b,3222 North 90th Street,Omaha,NE,68134,(402) 572-1230,41.2881,-96.0528,0
275,b,1500 Johnston Street,Lafayette,LA,70503,(337) 233-5944,30.2145,-92.022,0
276,b,2727 Canal Street,New Orleans,LA,70119,(504) 822-4872,29.966,-90.0876,0
277,b,7444 E. McDowell Road,Scottsdale,AZ,85257,(480) 949-0620,33.4659,-111.92,0
278,b,924 Payne Avenue,North Tonawanda,NY,14120,(716) 693-0168,43.0479,-78.8768,0
279,b,2302 West Camelback Road,Phoenix,AZ,85015,(602) 242-8122,33.5097,-112.109,0
280,b,32704 Grand River Avenue,Farmington,MI,48336,(248) 471-5991,42.4622,-83.3699,0
281,b,21 Salem Turnpike,Norwich,CT,6360,(860) 889-7040,41.514,-72.1063,0
282,b,3930 Dixie Highway,Louisville,KY,40216,(502) 448-6733,38.194,-85.807,0
